year,Form No : (Sample Year/01),Lable,Q.1 The content was as described in publicity materials,Q.2 The workshop was applicable to my job,Q.3 I'll recommend this workshop to other conservators.,Q.4 The program was well paced within the allotted time,Q.5 The instructor was a good communicator ,Q.6 The material was presented in an organized manner,Q.7 The instructor was knowledgeable on topics ,"Q.8 I'd be interested in tending a followup, more advanced workshop on the same subject","Q.9 Given the topic, was this workshop","Q.10 In your opinion, was this workshop",Q.11 Please Rate the following : Visual,Q.12 Please Rate the following : Acoustics,Q.13 Please Rate the following : Meeting Space,Q.14 Please Rate the following : Handouts,Q.15 Please Rate the following : The program overall,Q.16 What did you most appreciate / enjoy/think was the best about the course? Any suggestions for improvements. ,Q.17 Which of the following best describes your current position?,Q.18 How many years of professional experience do you have in the conservation profession?,Q.19 Please indicate your top area of specialization using the list below,Q.20 I'd be able to do y work better if I knew more about,Q.21 Topic 1 : Please describe the first of top two topics you would like to learn more about in the next 12 months,Q.22 Topic 1: Preferred Level,Q.23 Topic 1 : Preferred duration of program(days),Q.24 Topic 1: Preferred Format,Q.25 Topic 2 : Please describe the first of top two topics you would like to learn more about in the next 12 months,Q.26 Topic 2 : Preferred duration of program(days),Q.27 Topic 2: Preferred Level,Q.28 Topic 2: Preferred Format
2017,1,Positive,4,4,4,5,4,5,4,4,2,1,3,3,4,3,3,"All sessions were good but I enjoyed Prof. M.M.Gore lecture, in his lecture we can relate the topic with our real environment. Prof.Sudeep Sanyal's lecture was very good.",Student : Graduate,N/A,,R tool,Artificial Intelligence,3,7,Interactive distance learning (i.e. web based),IOT and knowledge about Ardunio Uno (Programming),14,2,Seminar/Workshop
2017,2,Positive,5,4,5,5,5,4,5,4,2,2,4,4,4,3,4,"Lab session enjoyed
Suggestion- Please use google forms to save papers(for feedback purpose).",Student : Postgraduate,,Others,Deep learning using python,NLP- Discussion of all processing units.,2,14,Seminar/Workshop,Application of NLP process(sentimental analysis and recommender system),14,3,Seminar/Workshop
2017,3,Positive,4,4,4,3,4,5,5,5,1,2,5,4,4,4,3,"I appreciate the positive attitude and efforts of the student coordinators and the coordinators.
Only suggestion is that keeping in mind the topics to be covered and vulnerability associates with the software, the duration of the workshop should have ben longer(i.e between 7 to 10 days).",Educator,3,Conservation education,Application of R to business analytics,Business analytics with R for managers,3,10,Seminar/Workshop,"Business Analytics:Overview/ Handson various tools like Tableau, Hadoop,R,Spark,SPSS,Big Data. ",10,,Seminar/Workshop
2017,4,Positive,4,4,4,3,4,3,4,3,1,2,4,3,3,3,3,"Lab sessions
Handouts ",Others,10 Years,Conservation administration,Data analytics and Visualization,Data Visualization using R language,2,6,Seminar/Workshop,Visual analytics,4,1,Seminar/Workshop
2017,5,Positive,4,4,5,5,4,5,4,5,2,1,4,4,5,4,4,"At the end of practical session, Assignment should be discuss with theory concepts so methodology may more clear.
Some prerequisite contents must be provided before start of workshop. So participant may know what they have to learn before it  ",Educator,12 Years,Architecture,Big data analytics in practical aspects,Machine learning,3,3,Seminar/Workshop,Recommender system ,3,3,Seminar/Workshop
2017,6,Positive,5,5,5,5,4,5,5,5,2,3,5,5,3,5,5,"Everything throughout the workshop is excellent. It was great learning over here.
As suggestions I would like to write that after every lab session, there may be discussion on solution, so that everyone can understand it better.",Educator,10,Book And Paper,Application of soft computing in software engineering,MATLAb,2,3,Seminar/Workshop,IOT,3,2,Seminar/Workshop
2017,7,Positive,1,3,1,1,1,1,1,2,2,2,2,2,3,3,2,,Educator,15,Book And Paper,,network,2,3,Seminar/Workshop,MANET SECURITY,3,3,Seminar/Workshop
2017,8,Positive,2,3,2,1,1,1,1,2,2,2,1,1,1,1,2,"Workshop/Course covers all aspects of data analytics. (Data Mining Machine learning, Recommender System ) precisely which helps learners to go at advance level.",Educator,15,Conservation education,Data Analytics and R language,R Language,3,7,Seminar/Workshop,Machine Learning ,7,3,Seminar/Workshop
2017,9,Negative,2,2,4,5,4,4,3,2,3,2,2,3,1,1,4,,Others,,Objects,,genetic algorithm ,3,15,Seminar/Workshop,Statistical technique,15,3,Seminar/Workshop
2017,10,Positive,1,2,1,1,2,1,2,2,2,1,2,3,1,2,3,lab session was best about the course but time was too short.,Educator,4,Architecture,Real Application that can be used for researach area,formal Method,3,14,Seminar/Workshop,Software Engineering ,14,3,Seminar/Workshop
2017,11,Positive,1,2,1,1,1,1,1,1,2,2,2,3,1,1,2,All content was good valuable and organised. Time allotted for lab is short.,Educator,9,Architecture,Algorithmic details and applications,Formal methods,3,14,Seminar/Workshop,Software Engineering,14,3,Seminar/Workshop
2017,12,Positive,2,3,2,1,2,1,2,1,2,2,1,3,1,4,2,"learning new outcomes, techniques like R hoping to work in this field in the future.",Others,5,Architecture,The proper use of mathematical functions used in R. It has been just executed syntactically not semantically.,Formal methods ,3,14,Seminar/Workshop,Optimisataion,5,3,Seminar/Workshop
2017,13,Positive,4,3,5,5,5,5,4,5,2,2,4,5,5,4,4,Came to know about various tools and packages of R. It improved my knowledge in the field of  Machine Learning. Got an opportunity to meet new people and discuss current /ongoing problems in the field of research,Others,8 months,Conservation science,"Machine Learning techniques, supervised and unsupervised methods",Introduction to Machine Learning using Neural Network,3,5,Seminar/Workshop,Recommended System,5,3,Seminar/Workshop
2017,14,Positive,4,4,2,4,3,3,3,4,3,1,4,4,4,4,3,Meeting,Educator,12,Others,Machine Learning,Machine Learning,3,,Self Study Material,Statistics,,3,Self Study Material
2017,15,Negative,3,3,2,2,3,2,3,2,3,1,3,2,,2,3,Lab Season,Student : Postgraduate,,Natural Science,,Neural Network,2,,Interactive distance learning (i.e. web based),Fuzzy System,,2,Self Study Material
2017,16,Positive,4,4,5,2,3,4,4,5,2,2,5,4,5,4,4,More time is required that means one course and one lab should be one day because we have not run purely within time,Educator,12,Natural Science,,Neural Network and Pattern Recognition ,1,7,Seminar/Workshop,R Norm Software,7,3,Seminar/Workshop
2017,17,Positive,3,4,4,4,5,5,5,5,2,2,5,4,5,3,4,I enjoyed the practical with the volunteers which are very helping in nature and thanks to them. By joining this workshop I have got a base for my research,Others,,Others,Sentiment Analysis and Machine Learning,Sentiment Analysis ,3,14,Self Study Material,Machine Learning,14,2,Seminar/Workshop
2017,18,Positive,3,3,4,4,4,4,5,5,2,2,4,4,3,2,4,The practical session was too interactive and we gain more outcome during short session but very appreciable cooperation of volunteers and instructors,Others,,Others,Natural Language Processing and Python,Natural Language Processing with NLTK,3,14,Seminar/Workshop,Information Retrieval with R/ Python/ NLTK,14,3,Seminar/Workshop
2017,19,Negative,5,1,1,5,3,5,5,1,1,1,5,5,5,3,1,"lecture sessions, but lab sessions were not as much as lecture sessions. please focus on R Plots and their significance because R is a universal software and basic things we can learn on youtube also.",Student : Postgraduate,2,Others,"R plots and their significance, Prof. have done their work nicely, but in the lab session, the lab coordinator did not discussed about its significance. Lab sessions were look like a simple, not focused session, however vol were excellent.",R plots and its significance,3,7,,,,,
2017,20,Positive,5,5,4,5,4,5,4,4,2,2,4,4,4,3,3,"the team who have prepared assignment work are really appreciable. required live examples solutions on R. also thanks research scholars for attentive, cooperative and punctuality.",Educator,10,Natural Science,Bio-Inspired Optimisations,Honey Bee and swarm optimisation,2,6,Seminar/Workshop,Non-linear optimisation tool,,2,Seminar/Workshop
2017,21,Positive,2,3,2,3,2,3,2,2,2,1,4,3,4,5,4,The workshop is lagging only one session on recent trends and research in co-orporate and academics. lab sessions should be discussed at last or next day.The most informative part of workshop were lab assignments.special thanks to the team who have placed effort to prepare lab sessions,Educator,9,Conservation education,Machine learning and genetic algorithm. Latest trends in industry,machine learning,2,7,Seminar/Workshop,Genetic algorithm,,3,Seminar/Workshop
2017,22,Positive,5,3,4,3,5,4,3,4,2,1,4,4,5,5,5,,Practicing Conservator,7,Conservation education,,,,,,,,,
2017,23,Positive,5,5,5,5,5,4,5,5,1,1,5,4,4,3,3,the discussion on the case studies and the implementation of those in R was best about the cause.,Practicing Conservator,,Others,Statistics and neural networks,Statistics,1,,Interactive distance learning (i.e. web based),Machine learning techniques,,3,Seminar/Workshop
2017,24,Positive,5,5,5,4,4,5,4,5,2,2,5,4,4,4,4,workshop was very good. lab session must be more explanatory.,Educator,,Book And Paper,,Open CV,3,5,Seminar/Workshop,,,,
2017,25,Positive,1,3,2,3,2,2,1,1,1,1,4,2,5,5,4,Best Faculties from other colleges/Institutions,Others,2,Electronic Media,,Machine Learning and Internet of Things,2,10,Self Study Material,Big Data Analysis,10,2,Self Study Material
2017,26,Positive,5,4,5,5,5,5,5,5,2,2,4,4,4,5,4,Approach of the workshop. Related Theory followed by related lab,Others,20,Natural Science,,Advanced Machine Learning,3,5,Interactive distance learning (i.e. web based),Use of Big Data analytics for industrial applications,5,3,Interactive distance learning (i.e. web based)
2017,27,Positive,1,2,2,2,1,2,3,5,2,1,4,4,4,5,4,Lab Practical with R Programming,Educator,7,Others,Data Analytics and Machine learning,Health Care Analysis with performance guarentee,3,10,others,Cloud computing for textile,10,3,others
2017,28,Positive,5,5,5,4,5,5,5,5,2,1,5,4,4,5,4,"All the topics covered here was meeting to what i need for my further work , the hosting and services provided during workshop was very  great.   ",Student : Postgraduate,1,Others,Genetic Algorithms,Genetic Algorithms,3,15,Seminar/Workshop,Natural Language Processing,15,2,Seminar/Workshop
2017,29,Negative,2,3,3,2,3,2,3,2,3,1,2,3,3,3,2,presentation was good but there was gap between participants and coordinator during lab  ,Educator,1,Objects,Reliability and Maintenance Analysis and Optimization Techniques,Reliability and Maintenance System,2,7,Seminar/Workshop,Optimization Techniques,7,2,Seminar/Workshop
2017,30,Positive,3,3,4,3,2,3,2,3,2,1,4,4,5,4,4,Very good hospitality and co - ordination  but  course need to be more elaborative,Student : Postgraduate,0,Others,How to implement some machine learning algorithms,Software defined networking,2,0,Interactive distance learning (i.e. web based),Deep learning and neural networks,0,2,Interactive distance learning (i.e. web based)
2017,31,Positive,4,4,4,5,5,4,4,4,2,1,5,4,5,4,5,"Lab session should be at slow pace.
Lectures and lab both were very interesting and informative.
All lunch and dinner.
",Educator,28,Conservation education,Data Analysis,Data Analysis,2,5,Seminar/Workshop,Recommender System,5,2,Seminar/Workshop
2017,32,Negative,,5,5,2,3,5,3,5,2,2,5,2,2,3,3,"DR. A.K.SINGH Sir's opening day presentation was similar to ""Gagar mein Sagar bharna"". The audio and some instructors was not good which created confusion among participant listeners.",Others,,Others,Controlling my curiosity that forces me to answer questions immediately. ,Support Vector M/C,3,,Interactive distance learning (i.e. web based),Social Networks,2,1,Seminar/Workshop
2017,33,Positive,4,2,5,5,5,4,5,5,2,1,5,4,3,5,4,"Please I request you whatever the lab manuals,you should try to explain and send before the course starts so participants can come with some basic practice.",Practicing Conservator,6,Book And Paper,Mathematical Modelling,Python,3,14,Seminar/Workshop,Image Processing,14,3,Seminar/Workshop
2017,34,Positive,5,5,5,5,5,5,5,5,2,1,4,4,5,5,4,Sessions with Prof.M.M.Gore and Prof.Sudeep Sanyal is so good.You should provide more help and some descriptions on queries in lab sessions.,Student : Graduate,,Natural Science,RStudio,Genetic Algorithm,2,10,Seminar/Workshop,Machine Learning using neural networks.,7,3,Seminar/Workshop
2017,35,Positive,4,4,3,4,4,4,4,2,2,2,4,4,4,4,4,"Learning Data Analysis using R.
How teaching takes place in NIT's.",Student : Undergraduate,,Others, Data Analysis using R, Data Analysis using R MATLAB,1,4,Seminar/Workshop,Quality Control(Statistical),4,1,Seminar/Workshop
2017,36,Positive,4,4,4,4,5,4,4,5,2,1,5,3,5,5,4,"During the whole workshop ,each and every session had its own characteristic,what I liked most was the practical and lab sessions and some lectures also.",Educator,10,Conservation education,Machine Learning,"Neural Networks,Deep Learning",2,10,Seminar/Workshop,Machine Learning,,2,Interactive distance learning (i.e. web based)
2018,1,Positive,3,2,2,2,1,2,1,2,2,2,3,3,4,3,4,More explanation needed on programming during lab sessions,Student : Postgraduate,0,Electronic Media,"Language, syntax and logic",Data mining and machine learning,3,10,Seminar/Workshop,Genetic Algorithm,10,3,Seminar/Workshop
2018,2,Negative,2,1,1,2,1,3,1,1,2,1,3,2,2,2,2,,Student : Undergraduate,0,Electronic Media,machine learning,,,,,,,,
2018,3,Positive,3,4,4,3,4,5,5,4,2,2,4,3,5,4,4,,Student : Undergraduate,0,Others,technology,Programming,2,20,Seminar/Workshop,Painting,20,2,Seminar/Workshop
2018,4,Negative,4,1,3,1,2,2,1,2,2,2,5,5,5,4,4,"Lab sessions could be better if basic functions of R were taught briefly. Handouts were not delivered on time. Teaching in class should be more in detail. Other than that, everything was quite well.",Student : Undergraduate,0,Others,Statistical tools,Programming in Statistical tools,2,any,Seminar/Workshop,Data mining,any,2,Seminar/Workshop
2018,5,Positive,2,3,3,2,2,2,2,3,2,2,5,4,4,4,4,"Examples discussed in class, support from volunteers",Student : Postgraduate,0,Natural Science,R and algorithms discussed in course,Python based learning and algorithm generation,2,5,Seminar/Workshop,Matlab tools specially analytical / statistical data,5,3,Seminar/Workshop
2018,6,Negative,2,3,3,2,2,2,2,2,2,2,4,3,2,2,3,"Enjoyed the lab curriculum and the work done by supporters , who helped a lot in learning R , is appreciable ",Student : Postgraduate,0,Objects,linking of matlab and R,Advance Machine learning based on ANN,2,5,Seminar/Workshop,Machine learning based on deep neural networks,05-Oct,2,Seminar/Workshop
2018,7,Positive,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,,Others,,,,Machine learning using python,2,05-Oct,Seminar/Workshop,,,,
2018,8,Positive,3,3,4,5,5,5,5,5,2,2,5,3,4,4,3,Timings were good. More time should be given to each topic from basics. Some basic questions should be explained first,Student : Undergraduate,0,Others,upcoming technologies,data mining,2,7,Seminar/Workshop,animation,7,2,Seminar/Workshop
2018,9,Positive,5,5,5,5,5,5,4,4,2,1,5,4,5,3,4,,Student : Postgraduate,,,,Big data,1,20-30,Seminar/Workshop,,,,
2018,10,Positive,5,5,4,3,4,4,4,5,2,1,5,5,5,5,5,I felt lucky to be able to attend this workshop. All the topics covered in the workshop are related to my course work and will definitely going to help me a lot in future. I would like to mention Dr.Vijay Diwvedi who has recommended me to attend this  workshop which helped me a lot in building my basis with R.A I was totally new to R.,Student : Postgraduate,0,Natural Science,Data Visualisation ,Data Collection,3,15,Interactive distance learning (i.e. web based),Data Processing,15,3,Interactive distance learning (i.e. web based)
2018,11,Positive,2,4,5,4,5,5,5,5,2,2,5,5,4,5,4,"Discussion in lectures during sessions and assignment practices.
Overall very good program no need for improvement.",Others,1,Conservation education,Machine learning and recommendation system,Recommendation System,3,10,Seminar/Workshop,,R,3,Self Study Material
2018,12,Positive,4,5,5,5,4,4,5,5,2,2,4,4,4,4,4,Everything is upto the mark,Educator,1,Book And Paper,MI,Deep Learning,3,5,Interactive distance learning (i.e. web based),MI and Data Mining,5,3,Interactive distance learning (i.e. web based)
2018,13,Negative,2,3,3,2,5,3,3,4,1,1,3,3,5,1,4,"Please introduce lab related content in the workshop too.
Please introduce a session on visualization of data.
Lab assignments can be broken down and solution can be provided much later in the day, once everyone has given a fair attempt to the assignment.",Student : Undergraduate,0,Others,Interpretation of results produced by R for a given workflow or technique,understanding statistical techniques for Data Analysis,1,5,Seminar/Workshop,Web based follow-up with industry experts for DAMLR-18,1,2,Interactive distance learning (i.e. web based)
2018,14,Positive,5,4,5,5,5,5,5,5,1,3,4,4,5,5,5,Lab session have sufficient time given,Educator,0,Others,working on HADOOP/spark,Big Data - HADOOP/SPARK,3,7,Seminar/Workshop,Big data - Python,7,3,Seminar/Workshop
2018,15,Positive,4,5,5,4,5,5,4,5,2,2,4,4,4,4,4,The workshop must include recent advancements in the research area,Others,0,Conservation science,"The recents advancements in supervised, unsupervised machine learning methods and more advanced topics on Neural Networks",Recommender System,3,5,Seminar/Workshop,MAchine learning using neural networks,5,3,Seminar/Workshop
2018,16,Positive,5,4,5,5,4,5,5,4,2,2,5,4,4,5,5,,Student : Postgraduate,,Electronic Media,,,,,,,,,
2018,17,Positive,4,5,5,5,4,4,5,5,2,3,5,5,5,5,5,Most appreciate and the best was explanations and slides of supervised classifiction taught by Dr.Anil Kumar Singh Sir.,Student : Postgraduate,8,Architecture,Data mining Techniques,Big data Analytics Techniques,3,4,Seminar/Workshop,Tools used to explore Big Data,4,3,Seminar/Workshop
2018,18,Positive,4,4,4,3,4,4,5,4,2,2,4,3,4,3,4,All the lectures delivered by MNNIT faculty and experts from outside are very good. Lab sessions are also very good,Student : Postgraduate,10,Architecture,image processing techniques,image processing with feature extraction,3,5,Seminar/Workshop,Tools used to implement features in images and videos,10,3,Seminar/Workshop
2018,19,Positive,5,5,5,4,5,4,5,5,2,3,4,4,4,5,5,The practical sessions is well organised . All topics which were discussed in this workshop are very useful for my research. Therefore i feel very happy.,Student : Postgraduate,0,Natural Science,the concept of ontology,ontology matching algorithms,2,,Seminar/Workshop,Match selection,,3,Interactive distance learning (i.e. web based)
